순번,분류,레스토랑 이름,영업시간,연락처,구글맵 링크,평점,리뷰,간단한 소개,대표 메뉴 (3가지)
24,호텔 근처 럭셔리 맛집,클라우드 나인 레스토랑 (Cloud Nine),오전 11:30~오후 10:00,+84 24 3929 0011,https://maps.app.goo.gl/x9Y3AkpKHZghi6426,4.9,646,하노이 중심가의 빌딩 최상층에 위치하여 호안끼엠 호수와 시내 전경을 한눈에 조망할 수 있는 곳입니다. 로맨틱한 분위기 속에서 고품질의 인터내셔널 요리와 다양한 주류를 함께 즐기기 매우 좋습니다.,"1. 프리미엄 등심 스테이크
2. 시그니처 해산물 파스타
3. 믹스 와인 플래터"
25,호텔 근처 럭셔리 맛집,레드 빈 센트럴 (Red Bean Central),오전 11:30~오후 10:00,+84 24 3923 4026,https://maps.app.goo.gl/K23bEhPSTS59sZaU6,4.9,253,깔끔하고 아늑한 인테리어 속에서 정통 베트남 요리를 코스로 경험할 수 있는 수준 높은 식당입니다. 식재료 본연의 풍미를 살린 조리 방식과 정성 가득한 서비스 덕분에 미식가들에게 오랫동안 사랑받고 있습니다.,"1. 테이스팅 세트 메뉴
2. 레몬그라스 향 생선 요리
3. 연꽃씨 디저트"
26,호텔 근처 럭셔리 맛집,텅 다이닝 (Tung Dining),오후 6:00~오후 11:00,+84 859933970,https://maps.app.goo.gl/3rdbguytW6KiF35y7,4.8,"1,016","하노이 파인 다이닝의 정수를 보여주는 곳으로, 현지 식재료를 사용한 실험적이고 창의적인 코스 요리가 유명합니다. 예약제로 운영될 만큼 인기가 높으며, 쉐프의 철학이 담긴 특별한 식사를 경험할 수 있습니다.","1. 텅 런치 테이스팅 코스
2. 쉐프 스페셜 디너
3. 페어링 와인 리스트"
27,호텔 근처 럭셔리 맛집,라브리 비스트로 (Labri - Oriental Bistro),오전 11:30~오후 10:00,+84 931353113,https://maps.app.goo.gl/fF8rYk5ak23PvgnE6,4.7,209,"아기자기한 매력이 넘치는 오리엔탈 비스트로로, 동양과 서양의 맛을 조화롭게 풀어내는 요리 철학을 가지고 있습니다. 조용한 골목에 위치해 있어 여유로운 식사를 원하는 여행자들에게 제격입니다.","1. 수제 비프 타르타르
2. 허브 그릴드 연어
3. 라브리 하우스 와인"
28,호텔 근처 럭셔리 맛집,더 리듬 레스토랑 (The Rhythms),오전 11:30~오후 10:00,+84 968756488,https://maps.app.goo.gl/Nipy1dXuaDdycyPT7,4.7,253,"호안끼엠 호수 뷰를 감상할 수 있는 최고의 위치에 자리 잡은 레스토랑으로, 우아한 분위기가 돋보입니다. 신선한 제철 식재료를 사용하여 베트남 요리의 깊이를 재현하며, 수준 높은 접객으로 정평이 나 있습니다.","1. 리듬 시그니처 플레이트
2. 특제 해산물 볶음 요리
3. 계절 과일 디저트"
29,커피 & 디저트,카페 지앙 (Cafe Giang),오전 7:00~오후 10:00,+84 989892298,https://maps.app.goo.gl/2cA3cq3RPKTUMQ7C7,4.4,"16,255","1946년부터 에그 커피를 만든 원조 카페로, 진한 베트남 커피 위에 달콤한 커스터드 크림이 올라간 것이 특징입니다. 하노이의 향수를 느낄 수 있는 투박하지만 깊은 풍미를 가진 공간입니다.","1. 에그 커피 (시그니처)
2. 에그 코코아
3. 에그 녹차"
30,커피 & 디저트,카페 딘 (Cafe Dinh),오전 7:00~오후 10:00,+84 2438242960,https://maps.app.goo.gl/yi2RC5fUwbaoLygM9,4.6,"4,639","호안끼엠 호수 근처의 오래된 건물 2층에 위치한 에그 커피 맛집으로, 현지인과 여행자들로 항상 북적입니다. 지앙과는 또 다른 매력의 부드럽고 꾸덕한 크림 맛이 방문객들의 발길을 끊이지 않게 합니다.","1. 핫 에그 커피
2. 아이스 에그 커피
3. 초콜릿 에그 커피"
31,커피 & 디저트,콩카페 항가이 (Cong Caphe),오전 7:30~오후 11:30,+84 869353605,https://maps.app.goo.gl/kxiEYcJi8uGLLz1r9,4.2,"1,685","베트남의 사회주의 시절을 테마로 한 인테리어가 매우 인상적이며, 하노이 여행자들의 필수 코스로 꼽힙니다. 특히 코코넛 밀크와 커피가 절묘하게 섞인 스무디는 더위를 씻어주는 최고의 메뉴입니다.","1. 코코넛 스무디 커피
2. 연유 커피 (카페 쓰어다)
3. 코코넛 밀크 코코아"
32,커피 & 디저트,더 노트 커피 (The Note Coffee),오전 6:30~오후 11:00,+84 975194466,https://maps.app.goo.gl/qCincHUJjZ9jgDiB6,4.3,"6,467",매장 내부의 모든 벽면이 전 세계에서 온 여행자들의 따뜻한 메모지로 가득 차 있어 감동을 주는 곳입니다. 호안끼엠 호수를 바라보며 나만의 메모를 남기고 맛있는 커피를 즐길 수 있는 특별한 카페입니다.,"1. 더 노트 아이스 라떼
2. 코코넛 커피 스무디
3. 수제 패션후르츠 에이드"
33,커피 & 디저트,로딩 T 카페 (Loading T Cafe),오전 8:00~오후 6:00,+84 903342000,https://maps.app.goo.gl/HqB8YoLGcwkSCKgXA,4.7,"1,612",하노이의 오래된 저택을 개조하여 빈티지한 유럽 감성과 베트남의 정취를 절묘하게 섞어놓은 카페입니다. 좁은 계단을 지나 올라가면 나타나는 아늑한 공간은 여행의 피로를 풀기에 더할 나위 없습니다.,"1. 시그니처 베트남 쑤아다
2. 부드러운 에그 커피
3. 고소한 아몬드 라떼"
34,커피 & 디저트,Lang Biang - Coffee & Brunch,오전 9:00~오후 10:00,+84 559310345,https://maps.app.goo.gl/NeeUG2uMY8DwrbqK9,4.7,349,"유재석이 방문하여 더욱 유명해진 곳으로, 세련된 브런치와 향긋한 커피를 함께 즐길 수 있는 하노이의 인기 명소입니다. 에그커피와 소금커피가 특히 유명하며, 바로 옆 가게의 치즈케익과 곁들여 먹는 조합이 단골들에게 큰 인기입니다.","1. 시그니처 에그 커피
2. 소금 커피 (솔티드 커피)
3. 브런치 세트 (에그 베네딕트)"
35,커피 & 디저트,올웨이즈 카페 (Always Cafe),오전 8:00~오후 11:00,+84 867084985,https://maps.app.goo.gl/VMfqoobanK7oGK6V8,4.9,"10,083","해리포터 시리즈를 모티브로 한 신비로운 인테리어로, 영화 속 공간에 들어온 듯한 착각을 불러일으키는 카페입니다. 호그와트를 연상시키는 소품들과 마법 같은 비주얼의 음료들이 방문객들의 눈과 입을 동시에 즐겁게 합니다.","1. 버터 비어 (논알콜)
2. 마법 포션 컬러 에이드
3. 쉐프 시그니처 라떼"
